college,year,CIP,Category,Title,Level,Gender,Awards
UCB,2017,'42',Non-STEM,Psychology,Doctor's degree - research/scholarship,Male,8
UCB,2017,'44',Non-STEM,Public Administration and Social Service Professions,Doctor's degree - research/scholarship,Male,3
UCB,2017,'45',Non-STEM,Social Sciences,Doctor's degree - research/scholarship,Male,29
UCB,2017,'50',Non-STEM,Visual and Performing Arts,Doctor's degree - research/scholarship,Male,7
UCB,2017,'51',Non-STEM,Health Professions and Related Programs,Doctor's degree - research/scholarship,Male,3
UCB,2017,'52',Non-STEM,"Business, Management, Marketing, and Related Support Services",Doctor's degree - research/scholarship,Male,7
UCB,2017,'54',Non-STEM,History,Doctor's degree - research/scholarship,Male,6
UCD,2017,'01',Non-STEM,"Agriculture, Agriculture Operations and Related Sciences",Doctor's degree - research/scholarship,Male,15
UCD,2017,'05',Non-STEM,"Area, Ethnic, Cultural, Gender, and Group Studies",Doctor's degree - research/scholarship,Male,2
UCD,2017,'09',Non-STEM,"Communication, Journalism, and Related Programs",Doctor's degree - research/scholarship,Male,0
UCD,2017,'11',Non-STEM,Computer and Information Sciences and Support Services,Doctor's degree - research/scholarship,Male,15
UCD,2017,'13',Non-STEM,Education,Doctor's degree - research/scholarship,Male,3
UCD,2017,'14',STEM Major,Engineering,Doctor's degree - research/scholarship,Male,66
UCD,2017,'16',Non-STEM,"Foreign Languages, Literatures, and Linguistics",Doctor's degree - research/scholarship,Male,3
UCD,2017,'19',Non-STEM,Family and Consumer Sciences/Human Sciences,Doctor's degree - research/scholarship,Male,0
UCD,2017,'23',Non-STEM,English Language and Literature/Letters,Doctor's degree - research/scholarship,Male,4
UCD,2017,'26',STEM Major,Biological and Biomedical Sciences,Doctor's degree - research/scholarship,Male,66
UCD,2017,'27',STEM Major,Mathematics and Statistics,Doctor's degree - research/scholarship,Male,19
UCD,2017,'30',Non-STEM,Multi/Interdisciplinary Studies,Doctor's degree - research/scholarship,Male,2
UCD,2017,'38',Non-STEM,Philosophy and Religious Studies,Doctor's degree - research/scholarship,Male,2
UCD,2017,'40',STEM Major,Physical Sciences,Doctor's degree - research/scholarship,Male,28
UCD,2017,'42',Non-STEM,Psychology,Doctor's degree - research/scholarship,Male,6
UCD,2017,'45',Non-STEM,Social Sciences,Doctor's degree - research/scholarship,Male,28
UCD,2017,'50',Non-STEM,Visual and Performing Arts,Doctor's degree - research/scholarship,Male,6
UCD,2017,'51',Non-STEM,Health Professions and Related Programs,Doctor's degree - research/scholarship,Male,1
UCD,2017,'54',Non-STEM,History,Doctor's degree - research/scholarship,Male,3
UCI,2017,'03',Non-STEM,Natural Resources and Conservation,Doctor's degree - research/scholarship,Male,0
UCI,2017,'04',Non-STEM,Architecture and Related Services,Doctor's degree - research/scholarship,Male,3
UCI,2017,'11',Non-STEM,Computer and Information Sciences and Support Services,Doctor's degree - research/scholarship,Male,22
UCI,2017,'13',Non-STEM,Education,Doctor's degree - research/scholarship,Male,4
UCI,2017,'14',STEM Major,Engineering,Doctor's degree - research/scholarship,Male,61
UCI,2017,'16',Non-STEM,"Foreign Languages, Literatures, and Linguistics",Doctor's degree - research/scholarship,Male,7
UCI,2017,'23',Non-STEM,English Language and Literature/Letters,Doctor's degree - research/scholarship,Male,0
UCI,2017,'26',STEM Major,Biological and Biomedical Sciences,Doctor's degree - research/scholarship,Male,43
UCI,2017,'27',STEM Major,Mathematics and Statistics,Doctor's degree - research/scholarship,Male,15
UCI,2017,'30',Non-STEM,Multi/Interdisciplinary Studies,Doctor's degree - research/scholarship,Male,1
UCI,2017,'38',Non-STEM,Philosophy and Religious Studies,Doctor's degree - research/scholarship,Male,4
UCI,2017,'40',STEM Major,Physical Sciences,Doctor's degree - research/scholarship,Male,45
UCI,2017,'42',Non-STEM,Psychology,Doctor's degree - research/scholarship,Male,3
UCI,2017,'45',Non-STEM,Social Sciences,Doctor's degree - research/scholarship,Male,28
UCI,2017,'50',Non-STEM,Visual and Performing Arts,Doctor's degree - research/scholarship,Male,2
UCI,2017,'51',Non-STEM,Health Professions and Related Programs,Doctor's degree - research/scholarship,Male,1
UCI,2017,'52',Non-STEM,"Business, Management, Marketing, and Related Support Services",Doctor's degree - research/scholarship,Male,4
UCI,2017,'54',Non-STEM,History,Doctor's degree - research/scholarship,Male,4
UCLA,2017,'03',Non-STEM,Natural Resources and Conservation,Doctor's degree - research/scholarship,Male,3
UCLA,2017,'04',Non-STEM,Architecture and Related Services,Doctor's degree - research/scholarship,Male,4
UCLA,2017,'05',Non-STEM,"Area, Ethnic, Cultural, Gender, and Group Studies",Doctor's degree - research/scholarship,Male,0
UCLA,2017,'11',Non-STEM,Computer and Information Sciences and Support Services,Doctor's degree - research/scholarship,Male,19
UCLA,2017,'13',Non-STEM,Education,Doctor's degree - research/scholarship,Male,20
UCLA,2017,'14',STEM Major,Engineering,Doctor's degree - research/scholarship,Male,100
UCLA,2017,'16',Non-STEM,"Foreign Languages, Literatures, and Linguistics",Doctor's degree - research/scholarship,Male,18
UCLA,2017,'22',Non-STEM,Legal Professions and Studies,Doctor's degree - research/scholarship,Male,1
UCLA,2017,'23',Non-STEM,English Language and Literature/Letters,Doctor's degree - research/scholarship,Male,5
UCLA,2017,'25',Non-STEM,Library Science,Doctor's degree - research/scholarship,Male,0
UCLA,2017,'26',STEM Major,Biological and Biomedical Sciences,Doctor's degree - research/scholarship,Male,69
UCLA,2017,'27',STEM Major,Mathematics and Statistics,Doctor's degree - research/scholarship,Male,35
UCLA,2017,'30',Non-STEM,Multi/Interdisciplinary Studies,Doctor's degree - research/scholarship,Male,3
UCLA,2017,'38',Non-STEM,Philosophy and Religious Studies,Doctor's degree - research/scholarship,Male,2
UCLA,2017,'40',STEM Major,Physical Sciences,Doctor's degree - research/scholarship,Male,48
UCLA,2017,'42',Non-STEM,Psychology,Doctor's degree - research/scholarship,Male,5
UCLA,2017,'44',Non-STEM,Public Administration and Social Service Professions,Doctor's degree - research/scholarship,Male,0
UCLA,2017,'45',Non-STEM,Social Sciences,Doctor's degree - research/scholarship,Male,39
UCLA,2017,'50',Non-STEM,Visual and Performing Arts,Doctor's degree - research/scholarship,Male,15
UCLA,2017,'51',Non-STEM,Health Professions and Related Programs,Doctor's degree - research/scholarship,Male,8
UCLA,2017,'52',Non-STEM,"Business, Management, Marketing, and Related Support Services",Doctor's degree - research/scholarship,Male,9
UCLA,2017,'54',Non-STEM,History,Doctor's degree - research/scholarship,Male,6
UCR,2017,'01',Non-STEM,"Agriculture, Agriculture Operations and Related Sciences",Doctor's degree - research/scholarship,Male,0
UCR,2017,'03',Non-STEM,Natural Resources and Conservation,Doctor's degree - research/scholarship,Male,1
UCR,2017,'05',Non-STEM,"Area, Ethnic, Cultural, Gender, and Group Studies",Doctor's degree - research/scholarship,Male,1
UCR,2017,'11',Non-STEM,Computer and Information Sciences and Support Services,Doctor's degree - research/scholarship,Male,14
UCR,2017,'13',Non-STEM,Education,Doctor's degree - research/scholarship,Male,6
UCR,2017,'14',STEM Major,Engineering,Doctor's degree - research/scholarship,Male,38
UCR,2017,'16',Non-STEM,"Foreign Languages, Literatures, and Linguistics",Doctor's degree - research/scholarship,Male,1
UCR,2017,'23',Non-STEM,English Language and Literature/Letters,Doctor's degree - research/scholarship,Male,7
UCR,2017,'26',STEM Major,Biological and Biomedical Sciences,Doctor's degree - research/scholarship,Male,25
UCR,2017,'27',STEM Major,Mathematics and Statistics,Doctor's degree - research/scholarship,Male,11
UCR,2017,'38',Non-STEM,Philosophy and Religious Studies,Doctor's degree - research/scholarship,Male,4
UCR,2017,'40',STEM Major,Physical Sciences,Doctor's degree - research/scholarship,Male,36
UCR,2017,'42',Non-STEM,Psychology,Doctor's degree - research/scholarship,Male,3
UCR,2017,'45',Non-STEM,Social Sciences,Doctor's degree - research/scholarship,Male,10
UCR,2017,'50',Non-STEM,Visual and Performing Arts,Doctor's degree - research/scholarship,Male,3
UCR,2017,'52',Non-STEM,"Business, Management, Marketing, and Related Support Services",Doctor's degree - research/scholarship,Male,2
UCR,2017,'54',Non-STEM,History,Doctor's degree - research/scholarship,Male,2
UCSD,2017,'05',Non-STEM,"Area, Ethnic, Cultural, Gender, and Group Studies",Doctor's degree - research/scholarship,Male,0
UCSD,2017,'09',Non-STEM,"Communication, Journalism, and Related Programs",Doctor's degree - research/scholarship,Male,3
UCSD,2017,'11',Non-STEM,Computer and Information Sciences and Support Services,Doctor's degree - research/scholarship,Male,19
UCSD,2017,'13',Non-STEM,Education,Doctor's degree - research/scholarship,Male,1
UCSD,2017,'14',STEM Major,Engineering,Doctor's degree - research/scholarship,Male,112
UCSD,2017,'16',Non-STEM,"Foreign Languages, Literatures, and Linguistics",Doctor's degree - research/scholarship,Male,1
UCSD,2017,'23',Non-STEM,English Language and Literature/Letters,Doctor's degree - research/scholarship,Male,1
UCSD,2017,'26',STEM Major,Biological and Biomedical Sciences,Doctor's degree - research/scholarship,Male,50
UCSD,2017,'27',STEM Major,Mathematics and Statistics,Doctor's degree - research/scholarship,Male,16
UCSD,2017,'30',Non-STEM,Multi/Interdisciplinary Studies,Doctor's degree - research/scholarship,Male,6
UCSD,2017,'38',Non-STEM,Philosophy and Religious Studies,Doctor's degree - research/scholarship,Male,3
UCSD,2017,'40',STEM Major,Physical Sciences,Doctor's degree - research/scholarship,Male,56
UCSD,2017,'42',Non-STEM,Psychology,Doctor's degree - research/scholarship,Male,5
UCSD,2017,'45',Non-STEM,Social Sciences,Doctor's degree - research/scholarship,Male,32
UCSD,2017,'50',Non-STEM,Visual and Performing Arts,Doctor's degree - research/scholarship,Male,9
UCSD,2017,'51',Non-STEM,Health Professions and Related Programs,Doctor's degree - research/scholarship,Male,5
UCSD,2017,'52',Non-STEM,"Business, Management, Marketing, and Related Support Services",Doctor's degree - research/scholarship,Male,2
UCSD,2017,'54',Non-STEM,History,Doctor's degree - research/scholarship,Male,3
UCSF,2017,'11',Non-STEM,Computer and Information Sciences and Support Services,Doctor's degree - research/scholarship,Male,1
UCSF,2017,'14',STEM Major,Engineering,Doctor's degree - research/scholarship,Male,11
UCSF,2017,'26',STEM Major,Biological and Biomedical Sciences,Doctor's degree - research/scholarship,Male,29
UCSF,2017,'30',Non-STEM,Multi/Interdisciplinary Studies,Doctor's degree - research/scholarship,Male,4
UCSF,2017,'45',Non-STEM,Social Sciences,Doctor's degree - research/scholarship,Male,2
UCSF,2017,'51',Non-STEM,Health Professions and Related Programs,Doctor's degree - research/scholarship,Male,10
UCSF,2017,'54',Non-STEM,History,Doctor's degree - research/scholarship,Male,1
UCSB,2017,'03',Non-STEM,Natural Resources and Conservation,Doctor's degree - research/scholarship,Male,4
UCSB,2017,'05',Non-STEM,"Area, Ethnic, Cultural, Gender, and Group Studies",Doctor's degree - research/scholarship,Male,1
UCSB,2017,'09',Non-STEM,"Communication, Journalism, and Related Programs",Doctor's degree - research/scholarship,Male,3
UCSB,2017,'11',Non-STEM,Computer and Information Sciences and Support Services,Doctor's degree - research/scholarship,Male,12
UCSB,2017,'13',Non-STEM,Education,Doctor's degree - research/scholarship,Male,6
UCSB,2017,'14',STEM Major,Engineering,Doctor's degree - research/scholarship,Male,37
UCSB,2017,'16',Non-STEM,"Foreign Languages, Literatures, and Linguistics",Doctor's degree - research/scholarship,Male,2
UCSB,2017,'23',Non-STEM,English Language and Literature/Letters,Doctor's degree - research/scholarship,Male,2
UCSB,2017,'26',STEM Major,Biological and Biomedical Sciences,Doctor's degree - research/scholarship,Male,7
UCSB,2017,'27',STEM Major,Mathematics and Statistics,Doctor's degree - research/scholarship,Male,3
UCSB,2017,'30',Non-STEM,Multi/Interdisciplinary Studies,Doctor's degree - research/scholarship,Male,0
UCSB,2017,'38',Non-STEM,Philosophy and Religious Studies,Doctor's degree - research/scholarship,Male,8
UCSB,2017,'40',STEM Major,Physical Sciences,Doctor's degree - research/scholarship,Male,53
UCSB,2017,'42',Non-STEM,Psychology,Doctor's degree - research/scholarship,Male,9
UCSB,2017,'45',Non-STEM,Social Sciences,Doctor's degree - research/scholarship,Male,19
UCSB,2017,'50',Non-STEM,Visual and Performing Arts,Doctor's degree - research/scholarship,Male,10
UCSB,2017,'54',Non-STEM,History,Doctor's degree - research/scholarship,Male,5
UCSC,2017,'03',Non-STEM,Natural Resources and Conservation,Doctor's degree - research/scholarship,Male,2
UCSC,2017,'11',Non-STEM,Computer and Information Sciences and Support Services,Doctor's degree - research/scholarship,Male,11
UCSC,2017,'13',Non-STEM,Education,Doctor's degree - research/scholarship,Male,0
UCSC,2017,'14',STEM Major,Engineering,Doctor's degree - research/scholarship,Male,18
UCSC,2017,'16',Non-STEM,"Foreign Languages, Literatures, and Linguistics",Doctor's degree - research/scholarship,Male,3
UCSC,2017,'23',Non-STEM,English Language and Literature/Letters,Doctor's degree - research/scholarship,Male,0
UCSC,2017,'26',STEM Major,Biological and Biomedical Sciences,Doctor's degree - research/scholarship,Male,12
UCSC,2017,'27',STEM Major,Mathematics and Statistics,Doctor's degree - research/scholarship,Male,3
UCSC,2017,'30',Non-STEM,Multi/Interdisciplinary Studies,Doctor's degree - research/scholarship,Male,1
UCSC,2017,'38',Non-STEM,Philosophy and Religious Studies,Doctor's degree - research/scholarship,Male,0
UCSC,2017,'40',STEM Major,Physical Sciences,Doctor's degree - research/scholarship,Male,25
UCSC,2017,'42',Non-STEM,Psychology,Doctor's degree - research/scholarship,Male,3
UCSC,2017,'45',Non-STEM,Social Sciences,Doctor's degree - research/scholarship,Male,12
UCSC,2017,'50',Non-STEM,Visual and Performing Arts,Doctor's degree - research/scholarship,Male,3
UCSC,2017,'54',Non-STEM,History,Doctor's degree - research/scholarship,Male,3
UCM,2017,'03',Non-STEM,Natural Resources and Conservation,Doctor's degree - research/scholarship,Male,4
UCM,2017,'14',STEM Major,Engineering,Doctor's degree - research/scholarship,Male,9
UCM,2017,'24',Non-STEM,"Liberal Arts and Sciences, General Studies and Humanities",Doctor's degree - research/scholarship,Male,0
UCM,2017,'26',STEM Major,Biological and Biomedical Sciences,Doctor's degree - research/scholarship,Male,0
UCM,2017,'27',STEM Major,Mathematics and Statistics,Doctor's degree - research/scholarship,Male,3
UCM,2017,'30',Non-STEM,Multi/Interdisciplinary Studies,Doctor's degree - research/scholarship,Male,3
UCM,2017,'40',STEM Major,Physical Sciences,Doctor's degree - research/scholarship,Male,4
UCM,2017,'42',Non-STEM,Psychology,Doctor's degree - research/scholarship,Male,3
UCM,2017,'45',Non-STEM,Social Sciences,Doctor's degree - research/scholarship,Male,0
UCM,2017,'54',Non-STEM,History,Doctor's degree - research/scholarship,Male,2
UCB,2018,'01',Non-STEM,"Agriculture, Agriculture Operations and Related Sciences",Doctor's degree - research/scholarship,Male,8
UCB,2018,'03',Non-STEM,Natural Resources and Conservation,Doctor's degree - research/scholarship,Male,17
UCB,2018,'04',Non-STEM,Architecture and Related Services,Doctor's degree - research/scholarship,Male,2
UCB,2018,'05',Non-STEM,"Area, Ethnic, Cultural, Gender, and Group Studies",Doctor's degree - research/scholarship,Male,5
UCB,2018,'11',Non-STEM,Computer and Information Sciences and Support Services,Doctor's degree - research/scholarship,Male,27
UCB,2018,'13',Non-STEM,Education,Doctor's degree - research/scholarship,Male,6
UCB,2018,'14',STEM Major,Engineering,Doctor's degree - research/scholarship,Male,144
UCB,2018,'16',Non-STEM,"Foreign Languages, Literatures, and Linguistics",Doctor's degree - research/scholarship,Male,9
UCB,2018,'22',Non-STEM,Legal Professions and Studies,Doctor's degree - research/scholarship,Male,4
UCB,2018,'23',Non-STEM,English Language and Literature/Letters,Doctor's degree - research/scholarship,Male,16
UCB,2018,'26',STEM Major,Biological and Biomedical Sciences,Doctor's degree - research/scholarship,Male,61
UCB,2018,'27',STEM Major,Mathematics and Statistics,Doctor's degree - research/scholarship,Male,25
UCB,2018,'30',Non-STEM,Multi/Interdisciplinary Studies,Doctor's degree - research/scholarship,Male,4
UCB,2018,'38',Non-STEM,Philosophy and Religious Studies,Doctor's degree - research/scholarship,Male,12
UCB,2018,'40',STEM Major,Physical Sciences,Doctor's degree - research/scholarship,Male,90
UCB,2018,'42',Non-STEM,Psychology,Doctor's degree - research/scholarship,Male,5
UCB,2018,'44',Non-STEM,Public Administration and Social Service Professions,Doctor's degree - research/scholarship,Male,4
UCB,2018,'45',Non-STEM,Social Sciences,Doctor's degree - research/scholarship,Male,41
UCB,2018,'50',Non-STEM,Visual and Performing Arts,Doctor's degree - research/scholarship,Male,8
UCB,2018,'51',Non-STEM,Health Professions and Related Programs,Doctor's degree - research/scholarship,Male,2
UCB,2018,'52',Non-STEM,"Business, Management, Marketing, and Related Support Services",Doctor's degree - research/scholarship,Male,9
UCB,2018,'54',Non-STEM,History,Doctor's degree - research/scholarship,Male,11
UCD,2018,'01',Non-STEM,"Agriculture, Agriculture Operations and Related Sciences",Doctor's degree - research/scholarship,Male,20
UCD,2018,'05',Non-STEM,"Area, Ethnic, Cultural, Gender, and Group Studies",Doctor's degree - research/scholarship,Male,2
UCD,2018,'09',Non-STEM,"Communication, Journalism, and Related Programs",Doctor's degree - research/scholarship,Male,1
UCD,2018,'11',Non-STEM,Computer and Information Sciences and Support Services,Doctor's degree - research/scholarship,Male,12
UCD,2018,'13',Non-STEM,Education,Doctor's degree - research/scholarship,Male,11
UCD,2018,'14',STEM Major,Engineering,Doctor's degree - research/scholarship,Male,72
UCD,2018,'16',Non-STEM,"Foreign Languages, Literatures, and Linguistics",Doctor's degree - research/scholarship,Male,9
UCD,2018,'19',Non-STEM,Family and Consumer Sciences/Human Sciences,Doctor's degree - research/scholarship,Male,0
UCD,2018,'23',Non-STEM,English Language and Literature/Letters,Doctor's degree - research/scholarship,Male,4
UCD,2018,'26',STEM Major,Biological and Biomedical Sciences,Doctor's degree - research/scholarship,Male,63
UCD,2018,'27',STEM Major,Mathematics and Statistics,Doctor's degree - research/scholarship,Male,15
UCD,2018,'30',Non-STEM,Multi/Interdisciplinary Studies,Doctor's degree - research/scholarship,Male,1
UCD,2018,'38',Non-STEM,Philosophy and Religious Studies,Doctor's degree - research/scholarship,Male,2
UCD,2018,'40',STEM Major,Physical Sciences,Doctor's degree - research/scholarship,Male,45
UCD,2018,'42',Non-STEM,Psychology,Doctor's degree - research/scholarship,Male,8
UCD,2018,'45',Non-STEM,Social Sciences,Doctor's degree - research/scholarship,Male,21
UCD,2018,'50',Non-STEM,Visual and Performing Arts,Doctor's degree - research/scholarship,Male,2
UCD,2018,'51',Non-STEM,Health Professions and Related Programs,Doctor's degree - research/scholarship,Male,0
UCD,2018,'54',Non-STEM,History,Doctor's degree - research/scholarship,Male,8
UCI,2018,'03',Non-STEM,Natural Resources and Conservation,Doctor's degree - research/scholarship,Male,0
UCI,2018,'04',Non-STEM,Architecture and Related Services,Doctor's degree - research/scholarship,Male,3
UCI,2018,'11',Non-STEM,Computer and Information Sciences and Support Services,Doctor's degree - research/scholarship,Male,19
UCI,2018,'13',Non-STEM,Education,Doctor's degree - research/scholarship,Male,5
UCI,2018,'14',STEM Major,Engineering,Doctor's degree - research/scholarship,Male,61
UCI,2018,'16',Non-STEM,"Foreign Languages, Literatures, and Linguistics",Doctor's degree - research/scholarship,Male,3
UCI,2018,'23',Non-STEM,English Language and Literature/Letters,Doctor's degree - research/scholarship,Male,3
UCI,2018,'26',STEM Major,Biological and Biomedical Sciences,Doctor's degree - research/scholarship,Male,27
UCI,2018,'27',STEM Major,Mathematics and Statistics,Doctor's degree - research/scholarship,Male,10
UCI,2018,'30',Non-STEM,Multi/Interdisciplinary Studies,Doctor's degree - research/scholarship,Male,1
UCI,2018,'38',Non-STEM,Philosophy and Religious Studies,Doctor's degree - research/scholarship,Male,2
UCI,2018,'40',STEM Major,Physical Sciences,Doctor's degree - research/scholarship,Male,56
UCI,2018,'42',Non-STEM,Psychology,Doctor's degree - research/scholarship,Male,9
UCI,2018,'45',Non-STEM,Social Sciences,Doctor's degree - research/scholarship,Male,20
UCI,2018,'50',Non-STEM,Visual and Performing Arts,Doctor's degree - research/scholarship,Male,1
UCI,2018,'51',Non-STEM,Health Professions and Related Programs,Doctor's degree - research/scholarship,Male,3
UCI,2018,'52',Non-STEM,"Business, Management, Marketing, and Related Support Services",Doctor's degree - research/scholarship,Male,4
UCI,2018,'54',Non-STEM,History,Doctor's degree - research/scholarship,Male,0
UCLA,2018,'03',Non-STEM,Natural Resources and Conservation,Doctor's degree - research/scholarship,Male,0
UCLA,2018,'04',Non-STEM,Architecture and Related Services,Doctor's degree - research/scholarship,Male,5
UCLA,2018,'05',Non-STEM,"Area, Ethnic, Cultural, Gender, and Group Studies",Doctor's degree - research/scholarship,Male,0
UCLA,2018,'11',Non-STEM,Computer and Information Sciences and Support Services,Doctor's degree - research/scholarship,Male,20
UCLA,2018,'13',Non-STEM,Education,Doctor's degree - research/scholarship,Male,22
UCLA,2018,'14',STEM Major,Engineering,Doctor's degree - research/scholarship,Male,106
UCLA,2018,'16',Non-STEM,"Foreign Languages, Literatures, and Linguistics",Doctor's degree - research/scholarship,Male,22
UCLA,2018,'22',Non-STEM,Legal Professions and Studies,Doctor's degree - research/scholarship,Male,0
UCLA,2018,'23',Non-STEM,English Language and Literature/Letters,Doctor's degree - research/scholarship,Male,2
UCLA,2018,'25',Non-STEM,Library Science,Doctor's degree - research/scholarship,Male,0
UCLA,2018,'26',STEM Major,Biological and Biomedical Sciences,Doctor's degree - research/scholarship,Male,51
UCLA,2018,'27',STEM Major,Mathematics and Statistics,Doctor's degree - research/scholarship,Male,26
UCLA,2018,'30',Non-STEM,Multi/Interdisciplinary Studies,Doctor's degree - research/scholarship,Male,1
UCLA,2018,'38',Non-STEM,Philosophy and Religious Studies,Doctor's degree - research/scholarship,Male,7
UCLA,2018,'40',STEM Major,Physical Sciences,Doctor's degree - research/scholarship,Male,48
UCLA,2018,'42',Non-STEM,Psychology,Doctor's degree - research/scholarship,Male,11
UCLA,2018,'44',Non-STEM,Public Administration and Social Service Professions,Doctor's degree - research/scholarship,Male,2
UCLA,2018,'45',Non-STEM,Social Sciences,Doctor's degree - research/scholarship,Male,36
UCLA,2018,'50',Non-STEM,Visual and Performing Arts,Doctor's degree - research/scholarship,Male,9
UCLA,2018,'51',Non-STEM,Health Professions and Related Programs,Doctor's degree - research/scholarship,Male,4
UCLA,2018,'52',Non-STEM,"Business, Management, Marketing, and Related Support Services",Doctor's degree - research/scholarship,Male,12
UCLA,2018,'54',Non-STEM,History,Doctor's degree - research/scholarship,Male,10
UCR,2018,'01',Non-STEM,"Agriculture, Agriculture Operations and Related Sciences",Doctor's degree - research/scholarship,Male,0
UCR,2018,'03',Non-STEM,Natural Resources and Conservation,Doctor's degree - research/scholarship,Male,1
UCR,2018,'05',Non-STEM,"Area, Ethnic, Cultural, Gender, and Group Studies",Doctor's degree - research/scholarship,Male,0
UCR,2018,'11',Non-STEM,Computer and Information Sciences and Support Services,Doctor's degree - research/scholarship,Male,9
UCR,2018,'13',Non-STEM,Education,Doctor's degree - research/scholarship,Male,4
UCR,2018,'14',STEM Major,Engineering,Doctor's degree - research/scholarship,Male,33
UCR,2018,'16',Non-STEM,"Foreign Languages, Literatures, and Linguistics",Doctor's degree - research/scholarship,Male,5
UCR,2018,'23',Non-STEM,English Language and Literature/Letters,Doctor's degree - research/scholarship,Male,3
UCR,2018,'26',STEM Major,Biological and Biomedical Sciences,Doctor's degree - research/scholarship,Male,38
UCR,2018,'27',STEM Major,Mathematics and Statistics,Doctor's degree - research/scholarship,Male,9
UCR,2018,'38',Non-STEM,Philosophy and Religious Studies,Doctor's degree - research/scholarship,Male,6
UCR,2018,'40',STEM Major,Physical Sciences,Doctor's degree - research/scholarship,Male,37
UCR,2018,'42',Non-STEM,Psychology,Doctor's degree - research/scholarship,Male,5
UCR,2018,'45',Non-STEM,Social Sciences,Doctor's degree - research/scholarship,Male,7
UCR,2018,'50',Non-STEM,Visual and Performing Arts,Doctor's degree - research/scholarship,Male,2
UCR,2018,'52',Non-STEM,"Business, Management, Marketing, and Related Support Services",Doctor's degree - research/scholarship,Male,1
UCR,2018,'54',Non-STEM,History,Doctor's degree - research/scholarship,Male,2
UCSD,2018,'05',Non-STEM,"Area, Ethnic, Cultural, Gender, and Group Studies",Doctor's degree - research/scholarship,Male,3
UCSD,2018,'09',Non-STEM,"Communication, Journalism, and Related Programs",Doctor's degree - research/scholarship,Male,1
UCSD,2018,'11',Non-STEM,Computer and Information Sciences and Support Services,Doctor's degree - research/scholarship,Male,22
UCSD,2018,'13',Non-STEM,Education,Doctor's degree - research/scholarship,Male,4
UCSD,2018,'14',STEM Major,Engineering,Doctor's degree - research/scholarship,Male,104
UCSD,2018,'16',Non-STEM,"Foreign Languages, Literatures, and Linguistics",Doctor's degree - research/scholarship,Male,2
UCSD,2018,'23',Non-STEM,English Language and Literature/Letters,Doctor's degree - research/scholarship,Male,2
UCSD,2018,'26',STEM Major,Biological and Biomedical Sciences,Doctor's degree - research/scholarship,Male,42
UCSD,2018,'27',STEM Major,Mathematics and Statistics,Doctor's degree - research/scholarship,Male,10
UCSD,2018,'30',Non-STEM,Multi/Interdisciplinary Studies,Doctor's degree - research/scholarship,Male,4
UCSD,2018,'38',Non-STEM,Philosophy and Religious Studies,Doctor's degree - research/scholarship,Male,1
UCSD,2018,'40',STEM Major,Physical Sciences,Doctor's degree - research/scholarship,Male,68
UCSD,2018,'42',Non-STEM,Psychology,Doctor's degree - research/scholarship,Male,2
UCSD,2018,'45',Non-STEM,Social Sciences,Doctor's degree - research/scholarship,Male,26
UCSD,2018,'50',Non-STEM,Visual and Performing Arts,Doctor's degree - research/scholarship,Male,15
UCSD,2018,'51',Non-STEM,Health Professions and Related Programs,Doctor's degree - research/scholarship,Male,2
UCSD,2018,'52',Non-STEM,"Business, Management, Marketing, and Related Support Services",Doctor's degree - research/scholarship,Male,3
UCSD,2018,'54',Non-STEM,History,Doctor's degree - research/scholarship,Male,9
UCSF,2018,'11',Non-STEM,Computer and Information Sciences and Support Services,Doctor's degree - research/scholarship,Male,5
UCSF,2018,'14',STEM Major,Engineering,Doctor's degree - research/scholarship,Male,7
UCSF,2018,'26',STEM Major,Biological and Biomedical Sciences,Doctor's degree - research/scholarship,Male,37
UCSF,2018,'30',Non-STEM,Multi/Interdisciplinary Studies,Doctor's degree - research/scholarship,Male,0
UCSF,2018,'45',Non-STEM,Social Sciences,Doctor's degree - research/scholarship,Male,1
UCSF,2018,'51',Non-STEM,Health Professions and Related Programs,Doctor's degree - research/scholarship,Male,8
UCSF,2018,'54',Non-STEM,History,Doctor's degree - research/scholarship,Male,0
UCSB,2018,'03',Non-STEM,Natural Resources and Conservation,Doctor's degree - research/scholarship,Male,5
UCSB,2018,'05',Non-STEM,"Area, Ethnic, Cultural, Gender, and Group Studies",Doctor's degree - research/scholarship,Male,1
UCSB,2018,'09',Non-STEM,"Communication, Journalism, and Related Programs",Doctor's degree - research/scholarship,Male,3
UCSB,2018,'11',Non-STEM,Computer and Information Sciences and Support Services,Doctor's degree - research/scholarship,Male,16
UCSB,2018,'13',Non-STEM,Education,Doctor's degree - research/scholarship,Male,9
UCSB,2018,'14',STEM Major,Engineering,Doctor's degree - research/scholarship,Male,45
UCSB,2018,'16',Non-STEM,"Foreign Languages, Literatures, and Linguistics",Doctor's degree - research/scholarship,Male,4
UCSB,2018,'23',Non-STEM,English Language and Literature/Letters,Doctor's degree - research/scholarship,Male,3
UCSB,2018,'26',STEM Major,Biological and Biomedical Sciences,Doctor's degree - research/scholarship,Male,11
UCSB,2018,'27',STEM Major,Mathematics and Statistics,Doctor's degree - research/scholarship,Male,13
UCSB,2018,'30',Non-STEM,Multi/Interdisciplinary Studies,Doctor's degree - research/scholarship,Male,0
UCSB,2018,'38',Non-STEM,Philosophy and Religious Studies,Doctor's degree - research/scholarship,Male,8
